start,end,text
4.58,7.46,hi nellie belly readers
7.47,9.7,hi nellie belly readers wanted quickly
9.71,11.83,wanted quickly make little tiny petit fours
11.84,13.54,make little tiny petit fours extremely popular site
13.55,15.04,extremely popular site fast wanted
15.05,17.9,fast wanted things
17.91,19.09,things
19.1,21.85,pancake got purchase pancake
21.86,23.59,pancake got purchase pancake use angel food cake
23.6,24.8,use angel food cake wanted lighter calories
24.81,27.29,wanted lighter calories lighter fat
27.3,30.52,lighter fat container candy coating nearly
30.53,32.74,container candy coating nearly melted simple candy
32.75,35.6,melted simple candy coating pick baking
35.61,37.72,coating pick baking section microwaves goes
37.73,39.04,section microwaves goes microwave melt
39.05,40.22,microwave melt microwave little
40.23,41.66,microwave little container fast
41.67,43.67,container fast sort rack
43.68,45.5,sort rack chocolate drip
45.51,46.97,chocolate drip worry
46.98,47.86,worry get little
47.87,49.27,get little mess petit
49.28,50.86,mess petit fours fine
50.87,52.16,fours fine cutting
52.17,53.81,cutting board course thing
53.82,55.84,board course thing open
55.85,59.38,open purchase cake reason
59.39,60.65,purchase cake reason make
60.66,63.67,make certainly wanted
63.68,66.02,certainly wanted simply cut into
66.03,66.77,simply cut into squares
66.78,69.08,squares petit fours basically little tiny
69.09,71.24,petit fours basically little tiny cakes
71.25,71.57,cakes inch
71.58,75.98,inch inch half inch inch
75.99,79.16,inch half inch inch half little squares
79.17,82.55,half little squares cut real quick use
82.56,89.21000000000002,cut real quick use cut
89.22,90.49,cut cut get
90.5,93.64,cut get perfect
93.65,95.78,perfect get go cut
95.79,98.35,get go cut little square
98.36,99.92,little square go drop go ahead drop
99.93,102.02,go drop go ahead drop into candy coating hot
102.03,105.28,into candy coating hot pour get
105.29,107.87,pour get way covered use
107.88,110.35,way covered use forks process
110.36,112.81,forks process pick making
112.82,115.03,pick making sides covered
115.04,118.58,sides covered dripping
118.59,120.26,dripping hold
120.27,125.48,hold little tap
125.49,126.46,little tap go ahead
126.47,128.21,go ahead transfer rack
128.22,130.16,transfer rack continue drip
130.17,132.62,continue drip goes
132.63,134.36,goes get little
134.37,137.06,get little perfect perfect little
137.07,141.23,perfect perfect little squares pop make
141.24,147.95,squares pop make gets completely covered use
147.96,149.96,gets completely covered use forks tip tap little
149.97,154.67000000000004,forks tip tap little leave transfer
154.68,157.07,leave transfer rack make
157.07999999999996,158.45,rack make
158.46,160.28,set cute little petit fours
160.29,163.19,set cute little petit fours they'll icing frosting
163.2,165.23,they'll icing frosting tips decorate tops
165.24,168.71,tips decorate tops little good
168.72,170.78,little good day
