start,end,text
2.49,11.61,make fishtail loom band
7.95,13.32,week
11.61,15.54,sisters doing loom
13.32,16.98,bands week completely
15.54,18.21,dedicated loom bands
16.98,20.69,everybody crazy
18.21,23.16,thought i'd
20.69,26.76,make start
23.16,31.07,fishtail loom bands
26.76,35.19,get plastic
31.07,37.89,thing
35.19,41.73,start purple
37.89,48.53,hook twist
41.73,50.16,makes little twist
48.53,51.44,get second color
50.16,54.18,plain mean
54.18,64.32,get color
61.98,68.01,colors
64.32,70.43,basically
68.01,71.72,get pick
70.43,75.9,array little spatula
71.72,78.18,things purpley
75.9,81.53999999999998,go powerful
78.18,83.7,little hook reach flat bits
81.53999999999998,87.27,bend
83.7,90.86,get hook hook under
87.27,94.25,bring
90.86,96.93,hook under
94.25,100.25,bring suggest
96.93,102.38,pulling putting
100.25,102.38,middle
104.21,107.75,tada
108.74,115.53,make fishtail work
111.81,119.06,loom
115.53,119.06,little plastic point
122.61,130.44,get
126.0,134.78,hook
130.44,134.78,color hook
135.71,141.3,untidy
139.02,144.78,begin
141.3,147.03,get depends
144.78,148.47,type looms get
147.03,152.19,quite hard push
148.47,154.62,plastic got recent ones
152.19,157.7,works quite hard
154.62,163.02,push latex
157.7,169.56,non latex aware
163.02,171.75,push get pink
169.56,174.81,hook
171.75,178.22,bring bottle
174.81,180.33,bring pretty
180.33,187.76,starting form fishtail
183.98,189.42,bracelet go
187.76,192.42,remember
189.42,194.58,middle loom basically
194.58,200.19,hook
196.92,202.62,end
200.19,205.94,mean didn't
202.62,212.94,get little hooks
205.94,218.85,crystal bag
218.85,228.66,hook
224.88,232.5,hook
228.66,236.54,tab purple
236.54,242.7,looms come end
239.51,245.82,left bracelet
242.7,248.79,here's earlier
245.82,251.6,come loom
248.79,251.6,public
251.88,262.89,loom
258.51,265.38,hooked keeps
262.89,268.95,create
265.38,270.42,fish tail loom liked
268.95,271.86,stay tuned making lots
270.42,275.13,looms showing
271.86,277.17,start making
275.13,279.69,alright
