start,end,text
0.0,2.33,hi melissa melmer
2.34,4.19,hi melissa melmer group teach
4.2,5.84,group teach cook artichokes pressure
5.85,9.62,cook artichokes pressure cooker stay
9.63,19.58,cooker stay tuned loved
19.59,21.83,tuned loved artichokes artichoke hearts
21.84,24.32,artichokes artichoke hearts artichoke little
24.33,26.9,artichoke little girl dad cook
26.91,28.42,girl dad cook go
28.43,30.38,go fancy restaurant order
30.39,32.08,fancy restaurant order appetizer absolutely
32.09,35.18,appetizer absolutely delicious got pressure
35.19,38.63,delicious got pressure cooker idea cook
38.64,40.19,cooker idea cook use
40.2,42.04,use insta pot electric pressure
42.05,44.24,insta pot electric pressure cooker instructions
44.25,46.88,cooker instructions make artichokes home
46.89,48.83,make artichokes home eat thing
48.84,58.89,eat thing heart
63.0,65.0,eating artichoke
65.01,66.44,eating artichoke get
66.45,69.38,get tender leaves
69.39,72.23,tender leaves
72.24,76.49,cut
76.5,79.58,cut inside artichoke lots
79.59,83.51,inside artichoke lots smell small leaves sits
83.52,86.99,smell small leaves sits get
87.0,92.06,get point strings
92.07,94.6,point strings stop eating come
94.61,100.16,stop eating come protecting heart
100.17,107.53,protecting heart spoon scoop
107.54,110.63,spoon scoop piping hot eaten
110.64,113.26,piping hot eaten
113.27,115.88,taken stringy
115.89,119.35,taken stringy pieces left pieces
119.36,122.74,pieces left pieces nice tender
122.75,125.71,nice tender heart buy
125.72,128.56,heart buy artichoke hearts jar
128.57,130.97,artichoke hearts jar reason expensive
130.98,132.56,reason expensive buying small
132.57,135.19,buying small piece huge artichoke
135.2,136.85,piece huge artichoke kills cooking shows
136.86,139.82,kills cooking shows cook artichoke throw
139.82999999999998,142.64,cook artichoke throw leaves away get eat
142.65,144.5,leaves away get eat thing good
144.51,146.15,thing good remember eat leaf
146.16,149.42000000000004,remember eat leaf
149.43,151.34,encourages go
151.35,152.69,encourages go buy artichokes
152.7,155.09,buy artichokes season sale cook
155.1,156.59,season sale cook family home
156.6,157.4,family home delicious
157.41,160.0,delicious eat heart eat
160.01,162.41,eat heart eat leaves
162.42000000000004,164.69,leaves turn into meal love
164.7,169.76,turn into meal love
172.26,175.64,add garlic seasonings
175.65,179.24,add garlic seasonings water leaves
179.25,181.28,water leaves pot cook
181.29,184.37,pot cook help flavor
184.38,186.38,help flavor works
186.39,187.85,works
187.86,190.01,way
190.02,191.93,way videos subscribe
191.94,193.88,videos subscribe comment i'd love hear
193.89,196.82,comment i'd love hear time make day
196.83,198.7,time make day bye
198.71,204.84,bye
