start,end,text
11.76,13.56,anthony lucia ruses new
13.57,15.56,anthony lucia ruses new york pizzeria prepare
15.57,18.35,york pizzeria prepare jumbo shrimp fresh shrimp mushroom
18.36,19.5,jumbo shrimp fresh shrimp mushroom cream sauce
19.51,22.29,cream sauce go breaded shrimp got
22.3,25.2,go breaded shrimp got jumbo shrimp 1620
25.21,32.0,jumbo shrimp 1620 eautiful center flour
32.01,36.0,eautiful center flour egg wash wash pretty seasoned
36.01,40.11,egg wash wash pretty seasoned salt pepper thyme parsley
40.12,44.79,salt pepper thyme parsley painting egg wash
44.8,47.19,placing plain bread
47.2,54.15,placing plain bread crump's
54.16,58.5,shrimp 6029 jumbo
58.51,65.64,shrimp 6029 jumbo shrimp recipe
65.65,68.91,pieces rent
68.92,83.3,pieces rent wonderful marsala mushroom cream sauce
83.31,85.03,beautiful shrimp fresh market
85.03999999999998,89.38,beautiful shrimp fresh market mushroom
89.39,94.73,mushroom boy slice thin
94.74,99.38,boy slice thin use mushrooms recipe
99.39,104.41,use mushrooms recipe go thing
104.42,105.8,go thing shrimp extra virgin
105.81,107.35,shrimp extra virgin olive oil make
107.36,109.01,olive oil make sauce separate mushroom
109.02,111.31,sauce separate mushroom cream sauce parmesan cheese
111.32,113.38,cream sauce parmesan cheese step extra virgin olive oil
113.39,115.49,step extra virgin olive oil saute pan heat
115.5,117.35,saute pan heat oil fry shrimp
117.36,119.41,oil fry shrimp sides till golden brown
119.42,120.98,sides till golden brown skip olive oil ready
120.99,122.48,skip olive oil ready shrimp place
122.49,129.77,shrimp place limp inside nice turns
129.78,132.38,limp inside nice turns cook nice
132.39,136.87,cook nice golden brown color
136.88,139.0,use fresh shrimp
139.01,143.44,use fresh shrimp make recipe make
143.45,145.94,make recipe make piccata
145.95,149.12,piccata wine lemon garlic
149.13,150.53,wine lemon garlic serve fine
150.54,157.41,serve fine sauce
157.42000000000004,162.0,go 3 hour sauce get
162.01,163.98,go 3 hour sauce get skillet little olive oil
163.99,167.04,skillet little olive oil fresh garlic
167.05,168.87,fresh garlic lady brown add
168.88,171.78,lady brown add mushrooms add spices
171.79,174.93,mushrooms add spices cream sauce go web'
174.94,178.07999999999996,cream sauce go web' brown stomach throw mushrooms
178.09,181.71,brown stomach throw mushrooms pinch parsley
181.72,183.24,pinch parsley sauteing make
183.25,200.63,sauteing make minutes salt pepper
200.64,209.83,won wear wine
209.84,216.89,good minute
216.9,221.67,half half team sauce pressure pepper
221.68,231.96,half half team sauce pressure pepper go picture ramallah
231.97,240.08,go picture ramallah cheese
240.09,242.63,gray sauces
242.64,243.55,gray sauces getting little thicker
243.56,246.44,getting little thicker fantastic simple recipe
246.45,247.1,fantastic simple recipe follow
247.11,255.55,follow enjoy bon appetit
