start,end,text
17.86,20.62,pods ripe
20.63,22.35,pods ripe processed bring beans
22.36,25.24,processed bring beans edible state pods split
25.25,27.42,edible state pods split beans pulp scooped
27.43,30.04,beans pulp scooped carefully fermented
30.05,33.1,carefully fermented seven days fermenting
33.11,35.2,seven days fermenting crucial step developing flavor
35.21,38.34,crucial step developing flavor aroma essential oils beans
38.35,41.02,aroma essential oils beans quality vary tremendously
41.03,43.6,quality vary tremendously beans under fermented
43.61,45.39,beans under fermented farmer doing
45.4,48.31,farmer doing fermentation natural yeast
48.32,50.31,fermentation natural yeast chemically changes beans pulp
50.32,52.42,chemically changes beans pulp crucial developing
52.43,55.27,crucial developing initial chocolate flavor beans
55.28,57.76,initial chocolate flavor beans carefully sun artificially dried
57.77,60.04,carefully sun artificially dried develop flavor reduce
60.05,62.5,develop flavor reduce moisture cleaned
62.51,64.06,moisture cleaned remove dirt impurity
64.07,67.09,remove dirt impurity graded begged shipped
67.1,70.48,graded begged shipped world manufacturer
70.49,72.49,world manufacturer carefully roast beans precise
72.5,75.73,carefully roast beans precise temperatures roasting reduces bitterness
75.74,78.03999999999998,temperatures roasting reduces bitterness develops flavor aroma
78.05,81.03,develops flavor aroma gives beans desired browning
81.03999999999998,83.77,gives beans desired browning process water content
83.78,86.5,process water content decreases husks
86.51,89.32,decreases husks loosened beans processed
89.33,91.39,loosened beans processed separate husks prized cocoa
91.4,97.53,separate husks prized cocoa nib inside large heavy presses mills
97.54,100.6,nib inside large heavy presses mills used crush nibs nibs
100.61,103.1,used crush nibs nibs ground refined into thick
103.11,105.67,ground refined into thick non alcoholic paste known chocolate
105.68,109.03,non alcoholic paste known chocolate liqueur cocoa mass cocoa mass
109.04,111.13,liqueur cocoa mass cocoa mass squeezed hydraulic presses
111.14,114.01,squeezed hydraulic presses filtered mixture separate into
114.02,118.03,filtered mixture separate into 53 cocoa butter 47 pressed
118.04,120.54,53 cocoa butter 47 pressed cocoa
