start,end,text
0.03,3.78,fish restaurant
2.28,5.6,time get
3.78,9.3,especially fish skin
5.6,11.19,sear
9.3,11.84,fish hard get
11.19,15.21,net
11.84,17.49,awesome caramelized brown crispy
15.21,18.77,skin perfect
17.49,21.39,skin roast chicken
18.77,23.6,slightly
21.39,25.76,cooked gives piece fish
23.6,29.46,perfectly cooked inside
25.76,31.65,thing get pan usually
29.46,33.09,nonstick pan best idea
31.65,35.39,got crank heat
33.09,36.69,high good clad good
35.39,42.14,stainless steel
36.69,43.86,cast iron works jam high
42.14,46.86,pan ripping
43.86,49.14,hot high smoke point oil
46.86,51.09,canola grapeseed
49.14,54.03,vegetable oil olive oil
51.09,55.62,good smoke
54.03,57.78,make fish taste little bitter
55.62,63.61,silver
57.78,66.93,dollar size get pan
63.61,68.82,heating
66.93,72.36,care fish
68.82,75.24,crispy skin dry fish
72.36,77.15,best skin goes
75.24,78.9,here's little trick
77.15,81.65,learned restaurant butter
78.9,86.07,knife butter knife
81.65,87.45,scrape skin fish
86.07,89.86,matter way
87.45,93.15,scales pre scaled
89.86,97.22,scrape get little
93.15,100.31,extra moisture cook pat
97.22,104.85,real dry
100.31,108.32,skin oil
104.85,110.49,ready pick pan
108.32,113.22,oil
110.49,115.17,flow water ready
113.22,117.96,fish skin
115.17,121.46,little salt
117.96,124.71,sprinkle skin
124.71,129.86,fish
126.01,134.18,soon goes shake
129.86,136.85,little turn heat
134.18,139.85,medium high fish skin
136.85,142.45,tend arc
139.85,144.95,spatula metal spatula press
142.45,146.47,little hold
144.95,153.89,good thirty seconds
146.47,156.89,lick depending
153.89,159.95,thick fish
156.89,162.26,cook minutes minutes
159.95,166.79,minutes seven minutes thicker
162.26,169.88,fish longer needs cook
166.79,173.32999999999996,lower heat thicker
169.88,175.34,fish longer takes cook
173.32999999999996,177.07999999999996,lower heat inch
175.34,179.32999999999996,thick
177.07999999999996,182.2,minutes medium medium high
179.32999999999996,183.7,heat hear sizzle
182.2,186.41,set sound
183.7,190.15,go flip
186.41,192.65,go good minutes
190.15,195.23,sit
192.65,197.69,minutes
195.23,199.85,starting crisp real nice
197.69,203.69,cooked coming
203.69,209.39,ready go shake pan
205.97,211.31,little moves means
209.39,213.98,skin crispy
211.31,217.82,stuck pan
213.98,220.94,metal spatula flip underneath
217.82,223.25,finger fish fish
220.94,229.26,gentle
223.25,232.04,soon plug
229.26,234.95,crispy perfectly crispy
232.04,237.75,everybody's nice
234.95,239.34,crispy roast chicken skin
237.75,242.54,minute
239.34,243.9,minutes cook
242.54,246.48,barely
243.9,250.12,overcook fish pan
246.48,253.79,hot turn heat
250.12,258.18,hot pan needs
253.79,260.72,walk away minutes
258.18,262.07,fish
260.72,263.82,little butter
262.07,267.72,tablespoon butter into hot
263.82,269.52,pan melts
267.72,273.12,immediately base
269.52,276.44,sauce spread
273.12,276.44,melt quickly
279.38,287.12,tip pan
283.31,292.43,baste melted butter
287.12,294.68,get flavor butter into
292.43,297.33,fish cook
294.68,300.18,butter begin butter
297.33,302.69,low smoke point butter
300.18,305.34,burn taste bitter
302.69,307.62,start
305.34,311.63,ends get
307.62,317.78,excellent delicious buttery finish
311.63,319.08,fish fish
317.78,320.72,get
319.08,328.08,plate quickly make little
320.72,330.59,space nice pretty plate
328.08,337.62,fish delicate use finger
330.59,339.62,steady plate
337.62,345.33,pepper pepper
339.62,349.25,beginning burn little
345.33,350.75,line edges
349.25,352.11,mess crispy skin
350.75,353.94,mean eat away
352.11,355.65,normally
353.94,357.9,sauces
355.65,359.81,worked hard crispy
357.9,363.44,skin enjoy
359.81,363.44,simple simple seared fish
