start,end,text
1.79,4.49,hi isn't capitol building beautiful
4.49,8.92,excited little trip sacramento california
8.92,12.73,100 degrees got gotta love summer
12.73,16.91,taking sacramento
16.91,20.31,invited live demo california state fair
20.31,24.97,time doing live cooking pretty nerve wracking
30.44,34.16,michael marks good day sacramento mc event
34.16,37.88,blast host trivias audience
37.88,42.98,gave fun tips cooking got meet dairy queen
42.98,48.0,ended choosing make vietnamese banh mi thought audience
48.0,49.6,enjoy yummy sandwich
59.02,65.98,think audience enjoyed recipe
65.98,69.66,wait opportunities get meet new people
69.66,73.6,decided come watch auntie
73.6,77.81,invite live demo
77.81,81.05,coming behinds scenes trip
81.05,81.99,time
81.99,82.24,bye
