start,end,text
37.93,40.09,what's tech money
40.1,41.38,what's tech money reviewing
41.39,45.49,reviewing awesome f1 81 series 2 4 gigahertz
45.5,48.67,awesome f1 81 series 2 4 gigahertz drone holy stone amazon
48.68,50.41,drone holy stone amazon links purchased particular drone
50.42,52.0,links purchased particular drone description
52.01,54.75,description sample unit sent
54.76,59.02,sample unit sent full review purposes included
59.03,61.27,full review purposes included package 2 batteries 2 charging
61.28,63.97,package 2 batteries 2 charging cables drone 4 extra
63.98,67.42,cables drone 4 extra propellers propeller guards 2
67.43,69.88,propellers propeller guards 2 landing gears camera recording
69.89,73.18,landing gears camera recording flying footage 2 gigabyte microsd card
73.19,75.55,flying footage 2 gigabyte microsd card photos screwdriver
75.56,77.35,photos screwdriver case open
77.36,79.81,case open change motors set
79.82,81.94,change motors set drone flight
81.95,83.95,drone flight make battery connected
83.96000000000002,85.69,make battery connected plug into cable
85.7,88.33,plug into cable inside close cap tightly
88.34,90.52,inside close cap tightly ready battery camera
90.53,92.74,ready battery camera disconnected hard connect
92.75,94.63,disconnected hard connect make cable attached
94.64,97.6,make cable attached clip camera
97.61,103.74,clip camera slots tried attaching
103.75,107.02,slots tried attaching sj cam gopro cam
107.03,109.24,sj cam gopro cam chinese version couldn't
109.25,111.49,chinese version couldn't way attach strapped
111.5,113.74,way attach strapped drone course taking
113.75,115.71,drone course taking original camera drone
115.72,117.6,original camera drone able fly camera
117.61,120.07,able fly camera surprised drone
120.08,122.52,surprised drone party cameras
122.53,124.3,party cameras trying
124.31,126.99,trying
127.0,129.52,work alright
129.53,131.8,work alright battery camera attached
131.81,133.42,battery camera attached go ahead attach landing gear
133.43,135.3,go ahead attach landing gear highly important
135.31,135.67,highly important build
135.68,137.35,build make attach
137.36,139.3,make attach break camera
139.31,141.97,break camera inside drone
141.98,143.92000000000004,inside drone attach propeller guards use
143.93,145.69,attach propeller guards use screw provided item
145.7,147.52,screw provided item changing propellers
147.53,149.5,changing propellers make letters go
149.51,152.41,make letters go drone 100 ready
152.42000000000004,155.02,drone 100 ready remote remote control
155.03,156.69,remote remote control pretty straightforward
156.7,158.5,pretty straightforward practice operate
158.51,159.72,practice operate make double
159.73,161.65,make double batteries lot
161.66,163.36,batteries lot batteries
163.37,164.89,batteries charge thing glad
164.9,166.66,charge thing glad shows batteries overcharging
166.67000000000004,168.26,shows batteries overcharging little display
168.27,170.09,little display think
170.1,171.8,think live footage drone
171.81,173.81,live footage drone camera display
173.82,176.03,camera display tells information
176.04,178.01,tells information drone tells signal strength
178.02,180.32,drone tells signal strength farther drone gets
180.33,182.18,farther drone gets signal remote screen
182.19,183.47,signal remote screen little light bulb tells
183.48,186.05,little light bulb tells drone lighting battery
186.06,188.21,drone lighting battery status drone middle
188.22,190.07,status drone middle speed percentage
190.08,192.2,speed percentage go little later
192.21,194.51,go little later lastly lines sides
194.52,196.31,lastly lines sides trim
196.32,198.59,trim leveling drone
198.6,201.08,leveling drone level
201.09,203.99,level using trim options forward left
204.0,206.69,using trim options forward left throttle
206.7,208.97,throttle left goes speed
208.98,211.61,left goes speed goes speed left rotate drone
211.62,214.4,goes speed left rotate drone anti clockwise rotates drone
214.41,216.47,anti clockwise rotates drone clockwise controller
216.48,218.81,clockwise controller left forward
218.82,220.64,left forward controls
220.65,222.98,controls buttons start
222.99,224.9,buttons start ones left left button
224.91,227.39,ones left left button led control drone
227.4,229.37,led control drone recommend turning lights
229.38,231.47,recommend turning lights lights help
231.48,233.03,lights help battery drone
233.04,235.25,battery drone dying finding
235.26,237.26,dying finding battery dying
237.27,239.12,battery dying button headless mode tried
239.13,241.25,button headless mode tried using learning
241.26,243.95,using learning success
243.96,245.72,success use idea
245.73,247.97,use idea button controls
247.98,262.06,button controls
262.07,264.67,button taking picture
264.68,266.77,button taking picture use videos
266.78,268.69,use videos small zone
268.7,270.94,small zone plus live near chicago
270.95,273.04,plus live near chicago known windy city
273.05,276.04,known windy city get perfect photo shots
276.05,278.59000000000003,get perfect photo shots controls shrimp controls
278.6,280.24,controls shrimp controls use
280.25,282.37,use drone crazy
282.38,284.53,drone crazy goes normally use
284.54,286.21,goes normally use steering steer
286.22,289.24,steering steer certain direction
289.25,291.37,certain direction buttons left button
291.38,294.13,buttons left button changing mode low mode 25
294.14,299.2,changing mode low mode 25 medium mode 50 high mode 75 expert
299.21,301.66,medium mode 50 high mode 75 expert mode 100 beginner
301.67,304.0,mode 100 beginner bad idea start 100 higher
304.01,305.98,bad idea start 100 higher go mode quicker
305.99,307.93,go mode quicker maneuvers turns
307.94,310.72,maneuvers turns sharp quick
310.73,313.33,sharp quick 25
313.34,315.37,25 control button
315.38,317.56,control button 360 flips make
317.57,320.02,360 flips make 360 rotation trick
320.03,321.94,360 rotation trick make high
321.95,324.16,make high ground wind
324.17,326.5,ground wind hit zone case
326.51,327.67,hit zone case goes control
327.68,329.71,goes control forward clip board flip
329.72,332.92,forward clip board flip left flip flip glad
332.93,334.93,left flip flip glad included awesome feature
334.94,336.22,included awesome feature makes
336.23,337.87,makes beginners drone
337.88,341.86,beginners drone flips told
341.87,343.45,flips told item comes gigabyte
343.46,346.0,item comes gigabyte microsd card
346.01,348.01,microsd card camera records camera
348.02,351.28,camera records camera resolution 1280 720 30 frames
351.29,353.41,resolution 1280 720 30 frames pretty surprising little
353.42,355.87,pretty surprising little tiny camera records course jumps
355.88,358.03,tiny camera records course jumps frames smoothest camera
358.04,359.86,frames smoothest camera pretty good fun
359.87,361.93,pretty good fun get vibration
361.94,363.85,get vibration drone flying high
363.86,446.54,drone flying high altitude
446.55,449.87,enjoyed full review
449.88,451.49,enjoyed full review comments
451.5,453.47,comments you'd
453.48,455.96,you'd drone far think covered pretty
455.97,457.73,drone far think covered pretty check
457.74,458.99,check link description
459.0,461.18,link description updated price price
461.19,464.18,updated price price 135 forever prices
464.19,466.16,135 forever prices change uber improved
466.17,467.69,change uber improved version comes read
467.7,469.4,version comes read reviews drone
469.41,471.32,reviews drone pretty good stone got
471.33,472.37,pretty good stone got drones
472.38,474.53,drones interested particular
474.54,475.91,interested particular watching
475.92,477.29,watching helpful
477.3,479.3,helpful share
479.31,481.37,share drone
481.38,483.41,drone cool videos subscribe
483.42,485.21,cool videos subscribe channel lot things
485.22,486.95,channel lot things
488.88,490.88,money
490.89,494.3,money
