start,end,text
0.03,3.35,come task beautiful city
3.36,7.4,come task beautiful city mountains guerrero mexico
7.41,9.74,mountains guerrero mexico locals into beatles
9.75,13.28,locals into beatles talking ringo paul castro
13.29,15.56,talking ringo paul castro taxi ride
15.57,18.8,taxi ride beetle eat regional
18.81,21.23,beetle eat regional delicacy ludmila's
21.24,24.34,delicacy ludmila's states stink bugs
24.35,26.87,states stink bugs poor monster
26.88,31.37,poor monster wanna work revive
31.38,33.29,wanna work revive grandma permanent bite system
33.3,35.66,grandma permanent bite system make chunky beatles salsa
35.67,38.15,make chunky beatles salsa complete little bits beetles
38.16,40.16,complete little bits beetles tasty wondering
40.17,47.6,tasty wondering haven't recipe soon got
47.61,49.16,haven't recipe soon got into grandma's kitchen
49.17,50.95,into grandma's kitchen doing step salsa
50.96,53.56,doing step salsa searing chilies tomatoes
53.57,60.11,searing chilies tomatoes cuanto tiempo assa consejos la
60.12,60.81,cuanto tiempo assa consejos la vela
60.82,64.13,vela master menos 10 minutes
64.14,66.28,master menos 10 minutes high heat get
66.29,68.89,high heat get make evenly seared
68.9,72.38,make evenly seared sides goes severe loss
72.39,78.88,sides goes severe loss minutes la familia meanest
78.89,81.62,voiceover skelewu tiene mucha
81.63,84.85,voiceover skelewu tiene mucha protein grandma whipped
84.86,87.38,protein grandma whipped molcajete started taking serrano
87.39,89.87,molcajete started taking serrano peppers town cool
89.88,91.06,peppers town cool love kitchen
91.07,93.14,love kitchen grandmothers learning tricks
93.15,95.09,grandmothers learning tricks learning secrets trade
95.1,96.74,learning secrets trade mean woman's making salsa
96.75,99.26,mean woman's making salsa homey dozens
99.27,100.85,homey dozens dozens years she's got
100.86,103.85,dozens years she's got perfect she's using moka head
103.86,105.08,perfect she's using moka head ground chili into smithereens
105.09,106.96,ground chili into smithereens time
106.97,108.39,time tomatoes
108.4,112.76,tomatoes making nice green salsa molcajete
112.77,115.34,making nice green salsa molcajete lends chunkier style salsa
115.35,119.09,lends chunkier style salsa blender grandma started
119.1,120.88,blender grandma started adding live beatles
120.89,123.3,adding live beatles vamos hacer los
123.31,129.41,vamos hacer los lots lots live beatles
129.42,131.64,lots lots live beatles make salsa healthy
131.65,133.89,make salsa healthy helping stink bugs wouldn't
133.9,135.83,helping stink bugs wouldn't friends skimping
135.84,137.94,friends skimping beatles go
137.95,139.86,beatles go she's crushed she's crushing
139.87,144.93,she's crushed she's crushing time hit
144.94,148.14,time hit eat salsa
148.15,151.35,eat salsa forgive smell
151.36,155.1,forgive smell crushed stink bugs started wish
155.11,157.97,crushed stink bugs started wish stunt double eat
157.98,160.44,stunt double eat kinds recipes
160.45,162.24,kinds recipes beetles go
162.25,163.77,beetles go believe doing
163.78,165.53,believe doing eaten
165.54,167.55,eaten time
167.56,170.03,time experience
170.04,172.43,experience beetlejuice trying
172.44,173.78,beetlejuice trying wow
173.79,176.03,wow think salsa
176.04,180.18,think salsa refreshing budweiser hand
180.19,182.1,refreshing budweiser hand gosh beetles getting ground
182.11,184.22,gosh beetles getting ground finely
184.23,185.82,finely hand
185.83,188.15,hand got away
188.16,191.37,got away got away grandma think
191.38,193.94,got away grandma think go what's
193.95,195.39,go what's good get
195.4,198.78,good get kitchen run run
198.79,201.96,kitchen run run life go
201.97,203.52,life go go window come nick
203.53,209.46,go window come nick later bro bye
209.47,212.55,later bro bye
212.56,218.67,go go beetlejuice
218.68,221.39,go go beetlejuice believe doing
221.4,224.61,believe doing wow taste beetle taste
224.62,228.0,wow taste beetle taste beetle taste diva she's
228.01,230.22,beetle taste diva she's giving thought got away
230.23,233.16,giving thought got away time bits
233.17,235.71,time bits ground beetle god
235.72,240.17,ground beetle god spicy tastes beetles
240.18,244.53,delicioso rico whele come louis
244.54,248.25,delicioso rico whele come louis tango come appeared nathan
248.26,253.61,tango come appeared nathan abyss caves spicy
253.62,257.5,abyss caves spicy loading table
257.51,260.31,tell tastes lot
260.32,261.75,tell tastes lot chilies tomatoes
261.76,264.79,chilies tomatoes real beetle taste
264.8,269.59,real beetle taste think
269.6,271.78,think got grandma's beetle salsa
271.79,273.82,got grandma's beetle salsa interesting
273.83,276.01,interesting episode filmed meeta m
276.02,279.16,episode filmed meeta m estamos en lo que todavía
279.17,283.06,estamos en lo que todavía meal vivos said coming home
283.07,290.76,meal vivos said coming home vivos camaro jono
290.77,293.62,vivos camaro jono beetle salsa
293.63,296.2,beetle salsa definitely craziest
296.21,298.75,definitely craziest episodes filmed
298.76,300.97,episodes filmed vote channel eat
300.98,302.35,vote channel eat beetle salsa eat
302.36,304.93,beetle salsa eat beetlejuice got leave comment
304.94,306.43,beetlejuice got leave comment comment section tell
306.44,308.71,comment section tell think guy's shakin he's
308.72,310.12,think guy's shakin he's scared grandmas
310.13,312.67,scared grandmas salsa buddies
312.68,316.45,salsa buddies run life go run
316.46,318.21,run life go run
318.22,326.36,got bo scout bo
326.37,329.79,qantas familias camino nevada
329.8,332.9,qantas familias camino nevada standard knows cinco mil
332.91,335.87,standard knows cinco mil homeless yummy
335.88,340.14,homeless yummy muy sabroso steady teleport wow scc
340.15,343.4,muy sabroso steady teleport wow scc silva conquered puerto rico
343.41,347.09000000000015,silva conquered puerto rico chili mira steak chicken tenders kappa
347.1,350.93,chili mira steak chicken tenders kappa defender pero mosca par la baleine
350.94,354.42,defender pero mosca par la baleine parameter recipe wasn't
354.43,357.27,parameter recipe wasn't faint stomach signing
357.28,360.27,faint stomach signing tasko mexico host erick
360.28,389.19,tasko mexico host erick gill
