start,end,text
7.34,9.92,key lifestyle journal
9.93,12.29,key lifestyle journal donna tokugawa g docents
12.3,14.27,donna tokugawa g docents chateau segment
14.28,16.99,chateau segment brewing small leaf japanese
17.0,20.35,brewing small leaf japanese tease
20.36,23.77,tease focal machine sin
23.78,26.62,focal machine sin shetty little stem
26.63,30.1,shetty little stem included extra steamed
30.11,32.57,included extra steamed seen pooka mushi
32.58,34.85,seen pooka mushi north america quite frankly
34.86,38.53,north america quite frankly imported
38.54,41.93,imported sencha small tight get
41.94,46.28,sencha small tight get premium sencha add yo crudo yo
46.29,50.3,premium sencha add yo crudo yo crudo tea
50.31,53.06,crudo tea cover growing process
53.07,54.29,cover growing process notice picked
54.3,57.41,notice picked blue shade deep green
57.42,59.69,blue shade deep green pulls chlorophyll
59.7,61.97,pulls chlorophyll rich pulls nutrients
61.98,64.78,rich pulls nutrients soil tea
64.79,68.26,soil tea use create matcha
68.27,71.66,use create matcha brew yo
71.67,77.2,brew yo kudo yo crudo finest
77.21000000000002,81.52,kudo yo crudo finest loose leaf tea japan japan
81.53,85.52,loose leaf tea japan japan uses tea
85.53,88.76,uses tea grow country
88.77,91.78,grow country imports export
91.79,93.37,imports export explains difficult
93.38,96.59,explains difficult premium japanese
96.6,99.85,premium japanese tease outside japan order
99.86,103.3,tease outside japan order brew rt using
103.31,108.62,brew rt using cooling vessel kyushu serving
108.63,112.35,cooling vessel kyushu serving vessel course tea cups
112.36,118.73,vessel course tea cups use electric
118.74,120.12,use electric capture
120.13,123.81,capture dispense hot water certainly
123.82,126.33,dispense hot water certainly required makes makes handy
126.34,130.44,required makes makes handy choose use hot pot
130.45,132.78,choose use hot pot boil water stove
132.79,134.97,boil water stove boiling get
134.98,137.32999999999998,boiling get 195 degrees
137.34,141.02,195 degrees hot hot touch
141.03,144.69,hot hot touch cooling pot pour directly
144.7,148.14,cooling pot pour directly into kyushu
148.15,150.42000000000004,into kyushu accomplishing things cooling
150.43,153.38,accomplishing things cooling water vessel
153.39,156.96,water vessel teapot pour
156.97,160.28,teapot pour simply hot water teapot
160.29,165.18,simply hot water teapot directly into teacups
165.19,167.4,directly into teacups accomplishing cooling
167.41,170.61,accomplishing cooling water measuring exactly
170.62,172.41,water measuring exactly water
172.42000000000004,175.3,water
175.31,179.94,teacups into serve pot
179.95,183.62,teacups into serve pot warmed cups cooling water
183.63,186.5,warmed cups cooling water biggest mistake grew
186.51,188.81,biggest mistake grew japanese tea make use
188.82,191.06,japanese tea make use water hot
191.07,193.89,water hot burn leaves particularly
193.9,196.65,burn leaves particularly true talking key
196.66,200.58,true talking key giro crudo fine
200.59,203.25,giro crudo fine leaves harvested year
203.26,205.94,leaves harvested year premium premium
205.95,208.41,premium premium tender leaves burn
208.42,211.28,tender leaves burn 3 gram chiefs poon
211.29,215.09,3 gram chiefs poon handy measuring good tea
215.1,218.78,handy measuring good tea kyushu size
218.79,221.0,kyushu size
221.01,224.8,half spoons use
224.81,229.8,half spoons use pre measured gram spoon
229.81,232.02,pre measured gram spoon experiment
232.03,234.8,experiment determine exactly strong
234.81,236.84,determine exactly strong tea half
236.85,239.43,tea half size vessel
239.44,243.05,size vessel kyushu warm tea cups warm
243.06,245.67,kyushu warm tea cups warm water little
245.68,247.44,water little little feel
247.45,249.44,little feel touching
249.45,252.9,touching continue cool
252.91,254.81,continue cool touch
254.82,256.59,touch use thermometer
256.6,259.25,use thermometer shooting 160 degrees
259.26,261.59,shooting 160 degrees tell
261.6,264.39,tell come notice feel soon
264.4,266.15,come notice feel soon holding morn
266.16,269.7,holding morn certainly hot soon pour
269.71,272.82,certainly hot soon pour water into kyushu
272.83,275.1,water into kyushu timer minute facing
275.11,277.59000000000003,timer minute facing 13 minute timer
277.6,280.95,13 minute timer turn immediately
280.96,283.95,turn immediately pour water little
283.96,291.51,pour water little aerating nice
291.52,294.06,aerating nice turn timer cover lip
294.07,296.74,turn timer cover lip simple watch
296.75,299.37,simple watch shooting 30
299.38,302.15,shooting 30 seconds longer brews
302.16,304.71,seconds longer brews stringent stringent
304.72,306.54,stringent stringent confused bitter stringent
306.55,309.15,confused bitter stringent nice clean dry
309.16,311.61,nice clean dry feeling mouth
311.62,313.68,feeling mouth start
313.69,316.83,start turn into surf pot
316.84,320.31,turn into surf pot japanese palate enjoys fine
320.32,322.65,japanese palate enjoys fine japanese tease little astringent
322.66,325.68,japanese tease little astringent american palate
325.69,330.24,american palate suggesting 30 second brew
330.25,332.7,suggesting 30 second brew infuse 45 seconds
332.71,334.52,infuse 45 seconds pick little astringent
334.53,337.32,pick little astringent acquired taste
337.33,340.4,acquired taste preference drink
340.41,342.8400000000001,preference drink japanese tease
342.85,345.02,japanese tease surf pot easily go
345.03,347.49,surf pot easily go directly into teacups pour
347.5,349.98,directly into teacups pour directly filling cheek
349.99,353.21,directly filling cheek
353.22,356.7,serve pot pour directly
356.71,359.76,serve pot pour directly kyushu doing
359.77,361.98,kyushu doing pour quickly
361.99,364.39,pour quickly pour alternating
364.4,367.48,pour alternating fill cup little
367.49,370.85,fill cup little come fill cup
370.86,372.97,come fill cup keys blue quickly
372.98,375.61,keys blue quickly time takes pour
375.62,378.35,time takes pour cup into cup end
378.36,380.8,cup into cup end cup
380.81,384.55,cup tea serf pot
384.56,387.64,tea serf pot nice use ensure
387.65,392.05,nice use ensure consistent t
392.06,396.16,consistent t liquor tea
396.17,399.43,liquor tea nice light green
399.44,402.52,nice light green astringent tea said premium
402.53,405.04,astringent tea said premium t cool point
405.05,408.19,t cool point 150 degrees
408.2,411.43,150 degrees wonderful aroma sip
411.44,416.6,wonderful aroma sip immediately temperature
416.61,420.01,immediately temperature delicious sweet
420.02,423.64,delicious sweet grassy tea go
423.65,425.6,grassy tea go brewed leaves inside
425.61,427.87,brewed leaves inside kyushu beautiful
427.88,431.02,kyushu beautiful premium japanese tea
431.03,433.92,premium japanese tea egg yolk crudo quality
433.93,437.44,egg yolk crudo quality reinforce times certainly
437.45,440.54,reinforce times certainly flavor change remain
440.55,443.38,flavor change remain quite nice enjoy
443.39,446.41,quite nice enjoy later cups depends
446.42,451.79,later cups depends go
451.8,454.21,go moment soon
454.22,457.24,moment soon cheese kyushu handy
457.25,460.1,cheese kyushu handy little scraper into
460.11,462.73,little scraper into tea dryer
462.74,465.58,tea dryer later
465.59,468.25,later wonderful leafs cup
468.26,470.26,wonderful leafs cup certainly lot life left
470.27,474.25,certainly lot life left
474.26,478.12,simple brew nice cup japanese
478.13,482.92,simple brew nice cup japanese small leaf tea enjoy japanese tea
482.93,485.26,small leaf tea enjoy japanese tea finest segment
485.27,486.85,finest segment helpful forward seeing
486.86,487.6,helpful forward seeing
487.61,490.42,brew keg
490.43,494.2,brew keg medium loose leaf tea
494.21,498.49,medium loose leaf tea segment
