start,end,text
0.06,4.1,hello cooking enthusiasts today's
4.11,8.0,hello cooking enthusiasts today's talking
8.01,13.0,talking favorite cuts meat beef hurt
13.01,16.48,favorite cuts meat beef hurt normally
16.49,21.26,normally screamish organ meats highly
21.27,25.64,screamish organ meats highly recommend hurt shocked
25.65,31.07,recommend hurt shocked gamey organ flavor
31.08,35.65,gamey organ flavor similar regular meat given
35.66,39.97,similar regular meat given technically muscle obviously
39.98,43.63,technically muscle obviously slightly texture
43.64,48.36,slightly texture cardiac muscle instead
48.37,51.76,cardiac muscle instead skeletal muscle flavor
51.77,58.54,skeletal muscle flavor fantastic heart little tricky
58.55,62.59,fantastic heart little tricky butcher work
62.6,67.28,butcher work fat gristle large blood
67.29,71.41,fat gristle large blood vessels meat get
71.42,75.89,vessels meat get extremely lean flavorful
75.9,80.96000000000002,extremely lean flavorful treat tender
80.97,84.85,treat tender reputation tough
84.86,88.85,reputation tough slightly muscle
88.86,89.81,slightly muscle fibers
89.82,94.55,fibers consumed
94.56,100.63,consumed raw tartare cut fine
100.64,105.8,raw tartare cut fine grill large chunk
105.81,111.52,grill large chunk heart slice thin
111.53,113.35,heart slice thin heart
113.36,117.34,heart shines flavor
117.35,123.44,shines flavor texture slow cooking sous vide
123.45,128.51,texture slow cooking sous vide trial
128.52,132.47,trial pieces
132.48,133.61,pieces
133.62,137.24,temperatures times
137.25,143.07999999999996,temperatures times circulator 54 celsius
143.09,148.89,circulator 54 celsius 57 celsius roughly
148.9,153.17000000000004,57 celsius roughly corresponds rare medium rare
153.18,159.3,corresponds rare medium rare mistake pieces 2
159.31,165.31,mistake pieces 2 5 10 hours go
165.32,170.53,5 10 hours go process favorite far
170.54,175.94,process favorite far 54 celsius 10 hour piece
175.95,180.94,54 celsius 10 hour piece incredibly tender
180.95,185.97,incredibly tender taking large bikes reminded
185.98,191.66,taking large bikes reminded filet mignon flavor
191.67,196.78,filet mignon flavor said extremely lean clean
196.79,201.68,said extremely lean clean relatively inexpensive
201.69,205.58,relatively inexpensive especially circulator
205.59,210.5,especially circulator cook seaweed clarke chance
210.51,214.84,cook seaweed clarke chance klerk recipes
214.85,218.69,klerk recipes circulator
218.7,223.12,circulator coments
