start,end,text
2.3,5.09,what's lew
5.1,6.68,what's lew share tips
6.69,14.57,share tips car looking smelling new
14.58,16.27,car looking smelling new start washing car
16.28,17.84,start washing car rinse
17.85,21.08,rinse remove loose debris
21.09,22.88,remove loose debris washing real trick get
22.89,24.76,washing real trick get separate buckets soapy
24.77,26.75,separate buckets soapy water clean water
26.76,28.73,water clean water use soapy water
28.74,31.33,use soapy water use proper car soap
31.34,33.77,use proper car soap shouldn't using dish detergent
33.78,36.13,shouldn't using dish detergent step rinse sponge clean
36.14,38.75,step rinse sponge clean water removing debris
38.76,41.18,water removing debris collected hood car
41.19,42.77,collected hood car return soapy
42.78,48.35,return soapy water rinsed
48.36,49.97,water rinsed make dry
49.98,52.72,make dry completely end
52.73,55.4,completely end spots good idea
55.41,57.29,spots good idea use microfiber cloth work
57.3,59.77,use microfiber cloth work move cleaning
59.78,61.81,move cleaning wheels tires make use
61.82,63.65,wheels tires make use product water based non
63.66,68.53,product water based non corrosive clean glass
68.53999999999999,70.16,corrosive clean glass grime dirt
70.17,73.01,grime dirt steps cleaning inside
73.02,74.53,steps cleaning inside windshield use cleaner
74.53999999999998,77.14,windshield use cleaner ammonia free ammonia harm
77.15,84.14,ammonia free ammonia harm interior mats clean
84.15,86.35,interior mats clean using compressed air works
86.36,91.58,using compressed air works surprisingly check
91.59,93.59,surprisingly check way new car smell use
93.6,95.56,way new car smell use compressed air used
95.57,100.42,compressed air used mat vents finally
100.43,102.14,mat vents finally throwing dryer sheets
102.15,104.09,throwing dryer sheets underneath front seats
104.1,105.71,underneath front seats car smelling fresh seen
105.72,108.59,car smelling fresh seen tip car hacks
108.6,110.66,tip car hacks haven't seen go check
110.67,111.77,haven't seen go check link
111.78,113.51,link description
113.52,115.85,description got excuses following steps
115.86,117.41,got excuses following steps car looking fresh
117.42,120.02,car looking fresh clean focus
120.03,121.81,clean focus watching subscribe
121.82,123.95,watching subscribe videos leave
123.96,125.89,videos leave comment
125.9,127.55,comment topics covered future
127.56,130.47,topics covered future to's
130.48,133.6,got bunch car maintenance
133.61,136.47,got bunch car maintenance videos maintenance tips
136.48,139.69,videos maintenance tips tips car videos car
