start,end,text
0.62,2.89,channel
2.9,5.8,channel
5.8100000000000005,9.83,fit tigre 8 000 rear dry
9.84,11.74,fit tigre 8 000 rear dry layer bike run
11.75,14.72,layer bike run steps
14.73,17.9,steps purchased
17.91,20.33,purchased purchase comes box
20.34,25.79,purchase comes box end
25.8,31.09,end comes box get piece
31.1,36.56,comes box get piece outer cable housing
36.57,38.99,outer cable housing cable
39.0,40.4,cable go cut
40.41,42.22,go cut go
42.23,44.27,go fit housing complete
44.28,47.47,fit housing complete bike cutting
47.48,48.85,bike cutting sorry got plastic
48.86,51.2,sorry got plastic lining sorry didn't pulls
51.21,54.31,lining sorry didn't pulls careful cut
54.32,56.97,careful cut cut
56.98,59.81,cut get away able
59.82,61.25,get away able house straight
61.26,63.21,house straight dry layer frame
63.22,66.02,dry layer frame depends
66.03,69.67,depends internal
69.68,71.27,internal rooted lot
71.28,73.73,rooted lot cut careful
73.74,77.87,cut careful plastic piece clear
77.88,79.37,plastic piece clear plastic pulls inside
79.38,82.99,plastic pulls inside cable get
83.0,84.89,cable get dryer turns
84.9,88.67,dryer turns
88.68,90.88,outer page housing
90.89,93.62,outer page housing buy turn
93.63,95.78,buy turn they'll turn
95.79,98.27,they'll turn proper box turns
98.28,99.77,proper box turns get cable housing
99.78,102.56,get cable housing watch
102.57,106.81,watch go ahead get started
106.82,110.81,go ahead get started fit
110.82,112.06,fit thing remove
112.07,113.42,thing remove titan bike
113.43,116.2,titan bike got quick link chain
116.21,118.63,got quick link chain go get pliers
118.64,119.95,go get pliers link
119.96,121.7,link chain
121.71,123.28,chain get chain tool remove
123.29,124.78,get chain tool remove links chain bike
124.79,128.05,links chain bike sliced step fit
128.06,132.14,sliced step fit dryer removed
132.15,134.12,dryer removed chain bike
134.13,135.77,chain bike go ahead disconnect
135.78,138.56,go ahead disconnect cable end
138.57,144.82999999999996,cable end make go lever end pull
144.84,148.64,make go lever end pull hood
148.65,154.01,hood make cable
154.02,158.38,make cable trying
158.39,160.52,trying end cable
160.53,165.11,end cable little silver
165.12,167.75,little silver make
167.76,171.05,make shifter leave make
171.06,172.79,shifter leave make shifter lever chain
172.8,174.5,shifter lever chain lot change mouse
174.51,177.59,lot change mouse make shifted fully
177.6,181.22,make shifted fully small list
181.23,183.71,small list 11
183.72,186.44,11 got bomb shifted
186.45,190.28,got bomb shifted big ring
190.29,192.05,big ring 30 till 20 make
192.06,193.91,30 till 20 make 11
193.92,197.06,11 end cable
197.07,198.35,end cable go ahead cut cable
198.36,202.43,go ahead cut cable got cable
202.44,203.96,got cable isn't frayed old cable
203.97,206.57,isn't frayed old cable obviously able get
206.58,207.89,obviously able get end
207.9,210.05,end cable make
210.06,213.08,cable make shift set
213.09,217.16,shift set dryly way fully
217.17,219.32,dryly way fully timer's
219.33,221.3,timer's smallest
221.31,223.94,smallest make makes life
223.95,228.11,make makes life easier go got dryer
228.12,230.78,easier go got dryer set position talked
230.79,233.48,set position talked go ahead depends
233.49,235.52,go ahead depends dry got fame
235.53,239.12,dry got fame 105 shimano use
