start,end,text
0.53,8.24,jim bakker
4.52,8.24,host jim
10.13,14.36,hello everybody gray street
13.13,16.97,hi
14.36,20.0,man discovered blood moons
16.97,23.5,mong he'll ya
20.0,25.49,cold coming
23.5,27.56,thing
25.49,29.45,realize think
27.56,33.71,audience pretty sharp
29.45,35.12,celebrate
33.71,37.3,birthday year
35.12,40.82,birthday laughs yes people
37.3,43.55,realize coming monday
40.82,48.22,day adam open eyes
43.55,53.57,time garden eden
48.22,57.69,proclaimed god king
53.57,57.69,anniversary creation world
58.23,64.65,wow days later yom kippur day
62.32,64.65,judgment
67.54,70.68,get
75.26,83.69,get
77.72,86.14,500 years get wow
83.69,86.14,y'all get
88.19,97.14,people
94.53,101.27,month
97.14,101.27,get food wow good
110.39,113.24,people
113.39,120.29,ordering food faster faster wow
118.04,122.92,hours
120.29,122.92,event place
126.22,133.78,get food months
128.86,137.91,year moving
133.78,140.71,special message collapse coming
137.91,142.99,doomsday clock global market crash
140.71,145.03,strikes minute midnight hear
142.99,147.57999999999996,john bible says gotta throw gold
145.03,150.43,silver street tomorrow
147.57999999999996,152.29,yesterday
150.43,154.84,day order get prepared
152.29,157.93,offer comes 22 buckets plus
154.84,160.32999999999996,bonus additional buckets
157.93,163.09,total 28 buckets
160.32999999999996,165.82,food gift
163.09,169.63,thousand dollars
165.82,172.93,years food
169.63,175.06,doing
172.93,176.77,hear rights free told
175.06,178.96,got
176.77,181.81,shovels way get shovel
178.96,184.39,foldable shovels go
181.81,189.1,backpack
184.39,190.81,little tree they've
189.1,194.7,cooking
190.81,194.7,rice hot whew
197.6,208.73,mean hook
205.34,211.25,hungry stroke
208.73,216.35,hours
211.25,216.92,hands love man love
216.92,226.28,goodness meeting go
220.3,232.4,dump
226.28,235.28,into 22 gallon full
232.4,237.95,got shovelling
235.28,240.08,jumping snow
237.95,247.43,pile boy steam come
240.08,248.44,wow
248.44,257.08,love hands
252.52,259.2,hot cheesy ugly
257.08,261.91,broccoli wow
259.2,264.16,rock
261.91,266.11,pizza went
264.16,268.87,gross eat
266.11,271.84,shovel wow dump
268.87,274.0,rice goes
271.84,280.95,dumping 22 gallons into
274.0,284.5900000000001,wow into rice 44
280.95,286.69,gallons happen survive
284.5900000000001,296.53,years years
286.69,298.3,food come
296.53,300.07,mouth
298.3,303.01,doing girl real
300.07,305.17,problem 100 real broccoli
303.01,306.61,events place
305.17,309.37,world's farmed
306.61,310.11,dealt world's
310.11,314.44,anybody
312.25,316.12,wow get
314.44,320.38,bunch bulls servants
316.12,322.15,audience camera
320.38,327.52,camera
322.15,336.57,monitor bucket wow
327.52,336.57,pancake broccoli
