start,end,text
0.03,6.48,thing wearing
2.63,9.51,eye protection make
6.48,12.03,wear go goes cause spring
9.51,13.62,dirt break get into
12.03,15.0,eye cause problem
13.62,17.82,make use
15.0,20.57,respirator p 100
17.82,23.76,preferable painting
20.57,27.51,excellent preventing breeding
23.76,30.66,brake dust safety
27.51,32.7,kuratas highly recommend
30.66,37.32,pair glove
32.7,40.62,grease grease
37.32,45.23,place high rise area
40.62,47.85,brake liner come contact
45.23,50.7,backing plate grease
47.85,52.73,promote brake liner slide
50.7,57.8,backing plate brake
52.73,59.85,pedal applied make
57.8,65.22,place grease joist
59.85,67.14,area area brake
65.22,71.28,liner joist
67.14,73.53,thing
71.28,79.32,install
73.53,81.84,wheel cylinder
79.32,86.21000000000002,complete installation wheel
81.84,89.13,cylinder proceed installing
86.21000000000002,94.46,brake liner emergency brake
89.13,94.46,lever simply
94.67,100.97,install emergency brake cable
97.65,100.97,pulling spring forward
103.68,109.63,locked position
107.17,112.72,grease apply
109.63,117.85,liner slide
112.72,121.3,backing plate
117.85,126.07,hanging position
121.3,128.0,anchor pin
126.07,130.86,place backing plate
128.0,135.67,installing
130.86,138.45,spring cap cap
135.67,141.1,sit spring pin
138.45,143.68,come
141.1,145.98,pass cap
143.68,148.39,turn spring
145.98,153.12,lock position
148.39,156.93,objective anchoring brake liner
153.12,156.93,backing plate
160.86,166.47,pay attention
163.95,182.1,liner joist
166.47,187.34,real cylinder
182.1,187.34,lot retainer clip vise grip
190.61,197.36,held position
198.98,204.69,thing
201.36,209.43,front liner won apply
204.69,212.85,grease promote traveling
209.43,216.75,brake langer brake
212.85,219.59,applied place
216.75,221.48,liner into wheel cylinder
221.48,225.7,backing plate joyce
250.68,254.71,reason place grease
253.12,256.56,backing plate moved
256.56,266.25,liner able slide
258.85,268.29,backing plate time
266.25,270.6,install emergency brake
268.29,273.54,adjuster
270.6,274.65,emergency brake adjuster
273.54,278.4,breathe
274.65,280.02,pack rules esti hold level
278.4,282.81,emergency brake brake
280.02,286.11,line front groove
282.81,288.69,hold mechanical adjuster
286.11,294.03,turns project
288.69,296.85,install linkage
294.03,299.46,make properly placed
296.85,300.9,position come apart
299.46,304.95,make
300.9,310.77,threads inside linkage fully
304.95,312.96,greased c's
310.77,315.72,prevent emergency brake
312.96,319.64,making adjustment
315.72,326.6,important threaded adjuster
319.64,326.6,grease important
333.76,337.97,go ahead place
336.14,339.62,spring
337.97,342.01,toughest spring
339.62,342.01,replace
429.59,435.2,complete partially complete
435.89,443.75,installation brake line
438.99,448.5,wheel cylinder fit draw
443.75,453.93,complete assembly make
448.5,456.3,adjustment point
453.93,458.55,complete sides drum brake
456.3,461.46,installation go
458.55,463.98,apply emergency brake
461.46,467.43,release
463.98,470.37,center brake liner
467.43,475.14,inside drum make
470.37,479.88,necessary adjustment here's
475.14,482.13,drum brake brake liner
479.88,484.38,backing plate
482.13,489.09,adjuster
484.38,491.94,turn expand
489.09,498.0,brake liner closed
491.94,499.8,adjustment brake drum
498.0,502.35,go backing cover
499.8,509.19,make adjustment get
502.35,517.22,drag drum
509.19,520.77,rotating access plug
517.22,531.56,adjuster pop
520.77,531.56,tool turning
532.17,540.97,adjuster turn way
536.49,544.42,vacuum clean turn
540.97,547.51,direction lever
544.42,550.93,prevent doing
547.51,556.44,cause strip
550.93,556.44,adjuster sprockie
557.39,563.07,adjustment
560.82,565.69,replace heel
563.07,568.95,make final adjustment
565.69,571.64,meantime replace plug
568.95,571.64,lose
