start,end,text
0.03,1.34,hello
1.35,4.34,hello episode go cool l
4.35,7.01,episode go cool l sharing make
7.02,10.73,sharing make delicious creamy mango yogurt
10.74,14.33,delicious creamy mango yogurt ice yard summer sama
14.34,16.67,ice yard summer sama amazing
16.68,18.95,amazing cool
18.96,20.72,cool share
20.73,22.51,share friends family subscribe
22.52,24.34,friends family subscribe haven't pressed
24.35,26.48,haven't pressed notification button
26.49,28.22,notification button bell money
28.23,31.49,bell money videos upload twice week
31.5,33.74,videos upload twice week stay tuned
33.75,35.9,stay tuned create recipe
35.91,37.58,create recipe ingredients using
37.59,40.19,ingredients using mango make mango webbed
40.2,43.58,mango make mango webbed slowly loads sweetened
43.59,46.52,slowly loads sweetened color milk natural yogurt
46.53,48.41,color milk natural yogurt milk natural yogurt
48.42,51.52,milk natural yogurt blender blend manga
51.53,53.2,blender blend manga cutting mango make
53.21,56.36,cutting mango make blend removing skin
56.37,59.04,blend removing skin add mango inside
59.05,68.92,add mango inside blender bend basically blend
68.93,75.83,blender bend basically blend puree
75.84,79.45,puree got bowl add
79.46000000000002,87.56,got bowl add mango puree gradually add
87.57,89.98,mango puree gradually add true yogurt mix
89.99,97.14,true yogurt mix
97.15,105.74,get nice consistency
105.75,109.1,get nice consistency adding condom milk
109.11,111.68,adding condom milk mind sweet add quantity
111.69,115.37,mind sweet add quantity add
115.38,118.46,add sugar leave
118.47,120.64,sugar leave fine
120.65,124.39,fine
124.4,128.41,consistency
128.42,139.72,consistency grab mold add
139.73,142.94,nutrition close repeat
142.95,149.78,nutrition close repeat process rest
151.84,156.8,connect
156.81,158.16,connect connected
158.17000000000004,160.8,connected freezer overnight
160.81,164.13,freezer overnight leave he's frozen
164.14,167.55,leave he's frozen hours
167.56,169.19,hours leave overnight late
169.2,171.8,leave overnight late
171.81,174.21,day
174.22,175.02,day frozen
175.03,176.49,frozen suggest leaving
176.5,178.92000000000004,suggest leaving taking
178.93,180.63,taking straight away
180.64,183.05,straight away come trust
183.06,184.68,come trust little easily
184.69,188.13,little easily go
188.14,189.93,go amazing
189.94,192.9,amazing absolutely amazing way
192.91,194.94,absolutely amazing way models reusable use
194.95,197.06,models reusable use
197.07,199.19,helpful share
199.2,200.67,helpful share friends family comment
200.68,203.03,friends family comment subscribe haven't
203.04,204.5,subscribe haven't press vacation box
204.51,206.69,press vacation box identify
206.7,208.41,identify post enjoyed
208.42,210.05,post enjoyed
210.06,210.63,weather
210.64,212.55,weather watching
212.56,216.51,watching speak bye bye
