start,end,text
7.57,9.31,instructor beginning protocol
9.31,12.09,make workspace proper flow
12.09,15.75,avoid contamination samples reagents
15.75,18.54,example set handed student
19.52,21.88,tips pipettors left
23.55,26.18,racks samples middle
26.18,28.4,discard bucket
30.72,32.81,hand moves flow
32.81,36.5,unnecessarily crosses sample
37.62,40.1,begins students spit into
40.1,42.21,dnagenotek collection kits
42.21,44.8,capped tubes release buffer
44.8,47.03,mixed solution inversion
53.83,56.65,point sample tubes labeled
56.65,60.88,preserve student anonymity genotyping process
60.88,62.9,using p1000 micro pipettor
62.9,65.91,500 microliters transferred
65.91,69.66,spit collection tube into new microcentrifuge tube
89.09,92.5,pipetting large volumes draw solution slowly
92.5,95.72,avoid bubbles contaminating micro pipettor
98.37,101.88,solution transferred close spit tube lid
101.88,103.19,cap sample
106.83,109.65,repeat process remaining samples
129.57,131.21,prior beginning protocol
131.21,133.71,heat block dialed 50 degrees
135.76,138.05,turned flipping switch
139.55,142.07999999999996,heating light glow red
147.88,149.51,place samples heat block
155.42000000000004,158.38,incubation proceed 90 minutes
158.38,160.3,left overnight
164.15,167.06,tubes containing 20 microliters dnagenotek's
167.06,169.17000000000004,proprietary purifying solution
169.17000000000004,171.02,prepit provided
193.27,195.26,samples incubated
195.26,198.4,transfer entire volume tube
198.4,200.41,containing purifying solution
214.99,218.34,notice solution tube cloudy
218.34,219.31,normal
224.85,227.03,mix solution vortex
232.48,236.28,turn vortex press switch touch
236.28,240.43,turn knob clockwise ensure maximum speed
240.43,244.11,hold tube time press black pad
244.11,245.71,initiate vibration
251.75,254.55,repeat process remaining samples
272.14,274.79,embed samples ice 10 minutes
289.0,290.4,impurities solution
290.4,292.71,removed centrifugation
292.71,296.29,flipping switch microcentrifuge
296.29,298.42,press open button
298.42,301.17,remove metal lid inside pulling knob
308.0,309.79,make tubes labeled
309.79,311.48,letters numbers
311.48,313.73,loading into centrifuge
316.41,318.92,load samples hinges facing outward
324.53,326.84,balance tubes rotor
326.84,330.73,ensuring tubes equal volumes
330.73,334.03,replace metal lid press clicks securely
334.03,335.05,rotor
336.06,338.7,close lid microcentrifuge gently
340.07,342.96,change centrifugation time pressing arrows
342.96,344.42,desired time
344.42,346.28,case minutes
347.31,351.35,press arrows speed navigate proper rpm
351.35,354.52,case 14 5 thousand rpm
354.52,356.76,max centrifuge perform
356.76,358.89,close desired speed
359.87,361.91,press start button
361.91,364.2,centrifuge begin spin
364.2,366.48,suggested watch centrifuge
366.48,368.96,reaches maximum speed ensure
368.96,371.29,violent vibrations
371.29,373.57,mean tubes unbalanced
373.57,376.01,internal lid come loose
376.01,378.87,occurs press stop button immediately
382.27,385.68,spin obtain new tubes label
397.82,399.27,spin complete
399.27,401.4,lid centrifuge pop open
402.75,405.61,remove internal lid remove samples gently
405.61,407.3,avoid disturbing pellet
408.54,411.42,place tubes sample line
411.42,414.02,ease transfer solution
421.59,424.44,centrifugation able
424.44,428.28,white pellet collected
428.28,430.83,tube hinge
432.1,435.49,pellet contains impurities solution
435.49,437.58,dna supernatant
438.42,442.95,using p1000 transfer 400 microliters supernatant
442.95,445.34,contains dna new tube
453.65,456.28,place tip opposite tube
456.28,460.44,pellet draw slowly avoid disturbing
469.94,472.42,repeat process remaining samples
