start,end,text
0.26,6.8100000000000005,whoa what's
3.3,12.69,explode pineapple rubber bands
6.8100000000000005,14.42,remember
12.69,21.6,cousin marlon exploded
14.42,22.74,watermelon rubber bands
22.74,27.75,effect pineapple
25.56,29.4,way went store
27.75,30.92,pineapple stood
29.4,33.84,hair
30.92,36.45,dang pineapple hard
33.84,39.23,kinda figure
36.45,41.3,way good
39.23,43.32,tricky
41.3,46.17,bought pineapple shorter
43.32,48.57,sorry mister pineapple doing
46.17,56.61,sake easiness
48.57,58.44,sorry long day
56.61,61.1,pretty little
58.44,62.64,flowery think
61.1,67.17,rubber bands think
62.64,75.74,explode pineapple 560
67.17,80.75,1 2 apples hawaii eat
75.74,83.27,pines apples eat pines
80.75,83.27,get
91.53,96.58,time
94.27,99.85,rubber bands
96.58,108.19,that'll make
99.85,110.11,things lot faster got remember
108.19,112.86,pineapple isn't strong
110.11,114.34,watermelon outside layers
112.86,116.53,little squishier watermelon
114.34,119.08,implode
116.53,120.58,explode
120.58,134.91,primed front room
131.59,138.07,thing scared explodes
134.91,141.81,sharp go straight
138.07,141.81,eye blind
146.41,149.5,little juices coming
149.5,155.82999999999996,juices coming slowly
152.76,159.22,means making impact
155.82999999999996,161.29,working slowly 200 rubber
159.22,164.07,bands
161.29,165.13,go
164.07,166.95,water
165.13,169.32,dripping water drip
169.32,172.9,working slowly gotta
171.13,174.85,feel he's
172.9,176.59,aim way go
176.59,205.76,gentle explosion
203.18,208.57,seen
205.76,221.81,way open pineapple use
208.57,224.26,rubber bands feels good wow she's
221.81,226.28,life hack
226.28,232.23,cleaner watermelon didn't get
228.82,236.59,hurt rubber band ball
232.23,238.51,wow sorry
236.59,241.31,wasn't crazy i'd
238.51,243.47,successful safe
241.31,245.56,hurt broke nose
243.47,249.19,bleeding watching
245.56,251.56,experiment stay juicy
249.19,251.56,pineapple
