start,end,text
0.17,4.92,tiered
2.85,7.25,birthday wedding cake pop card
4.92,9.38,tutorial haven't watched
7.25,11.42,click link
9.38,16.52,watch
11.42,20.27,go ahead fold cake
16.52,20.27,make folds flat
35.47,42.32,choose cake topper
40.67,47.05,cake topper
42.32,48.65,ribbon
47.05,51.41,make card into birthday card
48.65,55.48,cut candles 21
51.41,57.94,flame pieces
55.48,59.78,wanted make wedding card
57.94,63.17,cut pieces
59.78,66.95,wedding couple standard wedding couple
63.17,69.95,cut heart shape
66.95,71.63,card colors
69.95,74.36,kissing couple
71.63,76.96000000000002,kissing bride groom
74.36,76.96000000000002,cake
99.63,119.49,insert hole
103.22,122.28,use glue
119.49,129.5,stick permanently attach
122.28,133.29,candles here's ribbon
129.5,136.92000000000002,chosen cut piece
133.29,139.07999999999998,half inches long
136.92000000000002,142.64,measure half
139.07999999999998,145.45,inches marked
142.64,149.28,here's trick used
145.45,151.23,cut ribbon difficult
149.28,155.7,use scissors cut use
151.23,159.93,knife tape
155.7,164.97,use exacto knife cut
159.93,174.9,edge tape nice
164.97,178.22,clean edge half piece
174.9,178.22,quarter
198.28,203.81,cut ribbon cake
201.95,205.43,little
203.81,207.85,little time little trial
205.43,213.37,error here's usually
207.85,223.4,use sided tape attach ribbon
213.37,229.04,cake small
223.4,231.73,piece tape
229.04,233.96,card here's front
231.73,250.66,here's
233.96,250.66,tape piece
276.72,283.33,usually attach ends
280.63,286.68,piece tape
283.33,290.31,little tricky
286.68,290.31,usually use pair tweezers
294.61,299.97,remove tape
324.27,328.08,second
375.0,381.99,final step attach inside card
379.0,381.99,outside card
405.53,412.07,here's final card looked
407.18,414.02,ribbon unfolds pretty
412.07,417.68,creases
414.02,419.66,round cake come website
417.68,423.23,create pop cards calm
419.66,426.02,pop card ideas
423.23,428.65,facebook facebook creative
426.02,428.65,pop cards
