start,end,text
0.03,1.5699999999999998,kids ready
1.58,4.84,kids ready drawing draw happy
4.85,7.09,drawing draw happy little bumblebee
7.1,8.83,little bumblebee black marker draw
8.84,10.61,black marker draw outline color
10.62,14.03,outline color thing
14.04,17.23,thing draw big circle head
17.24,20.15,draw big circle head draw
20.16,24.23,draw upside water drop comes
24.24,25.91,upside water drop comes little point
25.92,27.49,little point
27.5,31.0,perfect draw couple
31.01,33.11,perfect draw couple stripes body
33.12,35.2,stripes body black marker
35.21,38.03,black marker go little curvy pattern
38.04,40.22,go little curvy pattern skip
40.23,42.76,skip spot draw
42.77,45.08,spot draw wings
45.09,48.52,wings bubble b big wing
48.53,52.49,bubble b big wing little wing
52.5,55.34,little wing
55.35,57.92,go
57.93,61.34,go draw big wing
61.35,64.6,draw big wing little
64.61,67.1,little go got bumblebee body
67.11,69.59,go got bumblebee body eyeballs
69.6,72.05,eyeballs big happy bumblebee eyeballs
72.06,77.27,big happy bumblebee eyeballs
77.28,79.71000000000002,little happy bumblebee smiles whoo
79.72,83.14,little happy bumblebee smiles whoo perfect thing needs
83.15,85.88,perfect thing needs bumblebee antennas
85.89,88.42,bumblebee antennas head
88.43,91.42,head little candy canes little
91.43,95.17,little candy canes little circles perfect color
95.18,97.91,circles perfect color make bumblebee
97.92,104.06,make bumblebee yellow alright
104.07,106.21,yellow alright start coloring body
106.22,111.52,start coloring body
111.53,114.74,color bumblebee color
114.75,120.62,color bumblebee color yellow
120.63,128.03,color head
128.04,135.27,color head little
135.28,139.11,little color
139.12,144.5,color antennas
144.51,145.17000000000004,antennas
145.18,148.47,think color
148.48,152.63,think color wings color blue
152.64,155.72,wings color blue blue marker
155.73,160.89,blue marker go forth
160.9,163.28,go forth color wings got
163.29,167.32999999999996,color wings got remember
167.34,169.31,remember color color way
169.32,172.53,color color way circles
172.54,174.44,circles works straight
174.45,178.28,works straight lines fast
178.29,180.8,lines fast
180.81,186.21,straight nice slow lines
186.22,189.09,straight nice slow lines make get
189.1,191.3,make get colored
191.31,197.69,colored nice perfect help
197.7,203.07,nice perfect help get little guy
203.08,205.87,perfect got happy
205.88,207.7,perfect got happy little bumblebee colored he's
207.71,209.47,little bumblebee colored he's ready go buzz
209.48,212.08,ready go buzz flowers kids enjoyed
212.09,215.41,flowers kids enjoyed drawing make
215.42,216.85,drawing make get marker carpet
