start,end,text
3.0,8.06,people worried refinish
5.67,9.66,cabinets finishes
8.06,10.77,underneath lot people
9.66,13.23,think strip
10.77,14.7,cabinets way
13.23,17.52,repaint
14.7,19.56,ways redo kitchen
17.52,21.39,weekend convert
19.56,22.92,kitchen
21.39,25.17,start factory finished
22.92,27.18,cabinet door door
25.17,29.22,sprayed lacquer finish
27.18,31.34,latex steps
29.22,34.01,go
31.34,36.26,latex finish
34.01,40.17,wipe denatured alcohol
36.26,43.82,brush sticks
40.17,48.89,pretty darn sandpaper
43.82,52.11,coming
48.89,54.0,finish glossy
52.11,56.52,oil based finish underneath irritants
54.0,58.53,latex
56.52,60.36,come later
58.53,62.78,fingernail scrape
60.36,65.36,later talking
62.78,66.66,cures cure 24 hours come
65.36,69.78,rub fingernail
66.66,72.81,comes
69.78,78.68,press preferably use
72.81,80.36,sandpaper use 120 150 220
78.68,82.59,matter
80.36,84.18,scuff surface
82.59,86.18,come
84.18,89.0,strip
86.18,90.86,surface latex
89.0,92.79,paint stick oil
90.86,96.24,you'd glossing dulling
92.79,98.04,sell glossners
96.24,99.78,called liquid sandpaper
98.04,101.79,brush basically makes
99.78,103.82,little sticky wear latex
101.79,106.71,sticks
103.82,110.07,way cover
106.71,112.53,slightly scuff sand
110.07,114.65,grooves
112.53,116.61,hard get sandpaper
114.65,119.25,mess
116.61,121.25,important
119.25,123.63,start sanding
121.25,125.82,burr
123.63,129.92,bad paint steel wool
125.82,132.48,use sponge sandpaper get
129.92,134.19,150 grit
132.48,136.42000000000002,rub into surface
134.19,138.16,stuff come
136.42000000000002,140.29,primer
138.16,143.2,solid lot
140.29,145.45,standard pvc cabinet
143.2,147.28,laminate
145.45,149.44,white color
147.28,152.53,go
149.44,155.5,fairly simple
152.53,157.6,vibrating sander get
155.5,160.3,way flat surfaces
157.6,163.84,scuff pretty good
160.3,165.57999999999996,grooves
163.84,168.28,use steel wool get
165.57999999999996,171.25,stuff
168.28,173.31,prime used
171.25,175.36,automotive primer grey primer
173.31,177.73,goes long way
175.36,179.17000000000004,outside spray outside
177.73,181.36,primer paint
179.17000000000004,183.37,inside cabinet
181.36,186.1,course get cabinet
183.37,191.29,scuff
186.1,192.91,use 120 150 220
191.29,194.47,scuff
192.91,196.87,stick
194.47,198.73,smooth surface
196.87,200.68,go 100 using
198.73,202.72,latex latex paint real
200.68,205.03,thick use vibrating
202.72,207.54,sander smooth
205.03,210.4,comes oil base latex
207.54,213.34,paints rule oil
210.4,215.68,latex simple
213.34,218.04,latex
215.68,220.12,oils stick
218.04,222.85,prep
220.12,224.41,said scuff prime
222.85,227.14,latex
224.41,229.2,paint
227.14,231.76,pvc fingernail
229.2,234.82,scrape
231.76,236.92,paint pvc wait days
234.82,238.51,week later start
236.92,241.84,flaking start
238.51,245.79,peeling later line
241.84,248.01,prime
245.79,250.81,good automotive primer came
248.01,252.85,sandpaper
250.81,254.95,sticks
252.85,258.91,sand
254.95,261.1,peel sculpt
258.91,263.56,didn't primer
261.1,265.12,sand get
265.12,269.96,gloss fan
267.49,273.11,come
273.11,279.19,recommend priming pvc
277.43,282.05,latex paint
279.19,285.44,latex paint lacquer
282.05,288.53,used denatured alcohol clean
285.44,290.8400000000001,scuff
288.53,292.82,stick sculpt
290.8400000000001,295.91,primed rock
292.82,298.3400000000001,solid remember important
295.91,300.13,thing get grease
298.3400000000001,302.03,clean real
300.13,304.22,cleaner come
302.03,306.32,denatured alcohol wipe
304.22,308.27,way nice clean
306.32,310.61,surface start
308.27,312.32,scuffing sanding priming
310.61,314.69,stain door
312.32,317.09,factory painted door
314.69,318.8,little latex rub
317.09,321.8,clean denatured
318.8,323.9,alcohol little paint
321.8,326.12,come day
323.9,328.55,test rub fingernail
326.12,330.71,ways come
328.55,332.8400000000001,clean surface
330.71,334.4,paint
332.8400000000001,337.31,get factory finish
334.4,339.38,using spray gun
337.31,342.28,description box
339.38,345.16,soon
342.28,347.33,said forget
345.16,349.66,subscribe check paul toolbox comm
347.33,351.8,archived videos go
349.66,354.91,paul's toolbox
351.8,357.25,videos front order
354.91,359.93,check electrical plumbing
357.25,362.36,drywall number
359.93,365.88,cabinet ones watching
362.36,365.88,project
