start,end,text
0.03,1.64,jc cents remember
1.65,3.53,jc cents remember vlog showed
3.54,5.26,vlog showed static electricity able
5.27,7.57,static electricity able build wiggling butts
7.58,8.29,build wiggling butts chairs
8.3,10.04,chairs exactly test
10.05,11.45,exactly test test subjects
11.46,13.85,test subjects unfortunately computer die
13.86,21.98,unfortunately computer die hindsight
21.99,24.17,hindsight bad idea bet car told
24.18,27.55,bad idea bet car told bet rhett bet red
27.56,29.91,bet rhett bet red didn't he's help
29.92,32.74,didn't he's help
32.75,34.16,said
34.17,42.17,said close supposed fit
42.18,44.84,close supposed fit idea
44.85,49.94,idea 12 nice car
49.95,53.66,12 nice car saying
53.67,59.72,quiet dude got
59.73,61.83,quiet dude got covered needs truck j
61.84,66.03,covered needs truck j front car
66.04,67.56,heck supposed
67.57,69.94,heck supposed mesh mini dude
69.95,71.59,mesh mini dude mesh mini stuff
71.6,73.09,mesh mini stuff fit get
73.1,78.08,fit get figured
78.09,88.58,got idea
88.59,90.46,got idea fully working computer
90.47,93.7,fully working computer pentium g 4560
93.71,95.84,pentium g 4560 45 60 shock
95.85,96.74,45 60 shock test
96.75,98.27,test multiple people got
98.28,99.62,multiple people got nick brian hi
99.63,101.48,nick brian hi things
101.49,103.37,things chassis chassis designed
103.38,104.3,chassis chassis designed little faraday cage
104.31,106.66,little faraday cage supposed help alleviate
106.67,108.74,supposed help alleviate static reasons
108.75,109.91,static reasons sitting flat
109.92,111.85,sitting flat trying recreate deal
111.86,114.41,trying recreate deal home
114.42,116.51,home stupid reason kill
116.52,118.42,stupid reason kill hardware work
118.43,120.38,hardware work testing modern hardware
120.39,122.27,testing modern hardware supposed resilient
122.28,124.72,supposed resilient comes esd electrics electronic
124.73,131.15,comes esd electrics electronic static dictation yes seriously
131.16,132.68,static dictation yes seriously modern motherboards stuff
132.69,134.27,modern motherboards stuff esd capacitors
134.28,136.52,esd capacitors designed absorb shock here's
136.53,139.49,designed absorb shock here's thing things usb ports
139.5,141.57999999999996,thing things usb ports audio jacks stuff usually
141.59,142.94,audio jacks stuff usually protected test
142.95,145.22,protected test gtx 660 sitting
145.23,146.69,gtx 660 sitting pretty esd
146.7,148.84,pretty esd protection guess
148.85,158.21,protection guess happens remove paper towels
158.22,161.03,happens remove paper towels sitting chair
161.04,162.44,sitting chair autonomous chair mesh
162.45,167.5,autonomous chair mesh cloth obviously
167.51,169.55,cloth obviously charge turning
169.56,171.5,charge turning moving stuff chair
171.51,173.05,moving stuff chair test get fill
173.06,174.34,test get fill start touching
174.35,175.64,start touching graphics card working
175.65,178.09,graphics card working wasn't
178.1,180.86,wasn't hard getting esd
180.87,182.12,hard getting esd dry day
182.13,184.0,dry day stupid
184.01,192.53,stupid get
192.54,194.62,get working dress
194.63,196.55,working dress making face nick
196.56,198.25,making face nick cuz stupidest
198.26,198.8,cuz stupidest
198.81,201.17,touched memory chip
201.18,205.47,touched memory chip
205.48,208.18,processor heatsink
208.19,213.33,processor heatsink stupid thing think
213.34,215.89,subject madness
215.9,219.25,subject madness working usb
219.26,220.69,working usb ports usually number thing
220.7,223.63,ports usually number thing kill computer
223.64,227.05,kill computer come touch
227.06,229.33,come touch 3 0 shit arced
229.34,231.28,3 0 shit arced way god
231.29,233.38,way god far away plug
233.39,239.19,far away plug works damned
239.2,250.38,works damned anybody
250.39,253.95,works
253.96,255.3,works alright usb
255.31,256.77,alright usb front turn lights hoping
256.78,258.44,front turn lights hoping arc
258.45,261.27,arc obviously hear click man
261.28,263.4,obviously hear click man tracking
263.41,264.87,tracking motion think getting
264.88,267.0,motion think getting sexual chair
267.01,272.43,sexual chair
274.63,278.69,haha
278.7,281.25,haha plugin
281.26,282.99,plugin makes says lot
283.0,284.99,makes says lot anonymous build quality
285.0,287.25,anonymous build quality use paperclip
287.26,289.86,use paperclip specifically point
289.87,291.81,specifically point electricity go lot
291.82,295.14,electricity go lot fret 270 pound fat ass
295.15,297.03,fret 270 pound fat ass phil editing
297.04,299.61,phil editing think montage
299.62,305.94,think montage whoa
305.95,307.47,whoa switch cuz hit
307.48,310.35,switch cuz hit port straight working
310.36,320.13,port straight working god nick
320.14,321.27,god nick way feel star
321.28,322.71,way feel star wars movie waiting
322.72,331.24,wars movie waiting secret weapon charge primary ignition
336.27,348.68,jaitley
348.69,350.18,jaitley stupid
350.19,351.59000000000015,stupid doing
351.6,353.36,doing shocked nick chair
353.37,355.73,shocked nick chair day yes dee significant
355.74,357.98,day yes dee significant problem electronics things
357.99,359.75,problem electronics things progressed times gone
359.76,361.88,progressed times gone esd protection experienced
361.89,363.44,esd protection experienced specifically
363.45,365.69,specifically camera monitors shocked
365.7,367.52,camera monitors shocked behaved strangely go
367.53,368.66,behaved strangely go ahead demonstrate
368.67,368.96,ahead demonstrate
368.97,370.61,chart gotta
370.62,372.2,chart gotta way charge got
372.21,375.26,way charge got bios
375.27,377.78,bios touch hook happen screen
377.79,379.94,touch hook happen screen touch monitor
379.95,381.95,touch monitor happened
381.96,383.93,happened takes quite kill
383.94,387.41,takes quite kill esd
387.42,388.61,esd watching today's hated
388.62,390.53,watching today's hated liked
390.54,391.7,liked fact gyrating
391.71,393.8,fact gyrating chair 10 minutes shocking
393.81,396.02,chair 10 minutes shocking computer sake viewership
396.03,396.95,computer sake viewership hit button new
396.96,399.44,hit button new subscribe
399.45,401.9,subscribe
